record_id,occurence_month,ncic,total_number_of_victims,total_number_of_individual_victims,suspects_race_as_a_group,total_number_of_suspects,most_serious_ucr,most_serious_ucr_type,most_serious_location,most_serious_bias,most_serious_bias_type,most_serious_victim_type,weapon_type,offensive_act,is_multiple_bias,total_number_of_individual_victims_adult,total_number_of_individual_victims_juvenile,total_number_of_suspects_adult,total_number_of_suspects_juvenile,suspects_ethnicity_as_a_group,data_as_of,data_loaded_at
220015368,2022/01/01,,1,1,White,2,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,2,0,Unknown,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220057815,2022/01/01,,1,1,Black or African American,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220061145,2022/01/01,,1,1,Black or African American,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Not Hispanic or Latino,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220076956,2022/02/01,,1,1,White,1,Intimidation,,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Unknown,Other,,1,0,0,0,Not Hispanic or Latino,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220077039,2022/02/01,,1,1,Unknown,1,Simple Assault,,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Group of Multiple Ethnicities,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220077277,2022/02/01,,1,1,Black or African American,1,Aggravated Assault,,Bar/Night Club,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,1,0,1,0,Not Hispanic or Latino,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220078413,2022/02/01,,1,1,Black or African American,1,Intimidation,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,Unknown,Other,,1,0,0,0,Not Hispanic or Latino,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220154182,2022/03/01,,1,0,Unknown,1,Intimidation,,Community Center,Anti-Jewish,Religion,Religious Organization,Unknown,Other,,0,0,1,0,Unknown,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220157603,2022/03/01,,1,1,White,1,Aggravated Assault,,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,1,0,1,0,Hispanic or Latino,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
220180030,2022/03/01,,1,1,Black or African American,1,Intimidation,,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Unknown,Other,,1,0,1,0,Unknown,2024/05/22 12:00:00 AM,2024/05/22 03:01:45 PM
